pc_pickup,pc_delivery,nbr_packages,hour,id_scenario,probability,nbS,mean
75011,75015,3,0,7,0.1607,17,1
75012,75014,2,0,7,0.1607,17,1
75014,75017,1,0,7,0.1607,17,1
75005,75009,2,1,10,0.1249,26,1
75002,75009,1,1,10,0.1249,26,1
75014,75015,3,1,10,0.1249,26,1
75013,75019,1,1,10,0.1249,26,1
75009,75116,1,1,10,0.1249,26,1
75009,75010,1,1,10,0.1249,26,1
75009,75020,1,1,10,0.1249,26,1
75013,75015,2,2,11,0.1223,26,1
75003,75014,4,2,11,0.1223,26,1
75009,75016,3,2,11,0.1223,26,1
75011,75014,1,2,11,0.1223,26,1
75009,75010,1,2,11,0.1223,26,1
75009,75020,3,3,10,0.1214,25,1
75001,75017,3,3,10,0.1214,25,1
75009,78600,2,3,10,0.1214,25,1
75010,75013,1,3,10,0.1214,25,1
75008,75011,1,3,10,0.1214,25,1
75011,75019,2,4,8,0.1479,19,1
75004,75017,1,4,8,0.1479,19,1
75011,75019,2,4,8,0.1479,19,1
75009,75018,1,4,8,0.1479,19,1
75006,75007,1,4,8,0.1479,19,1
75017,75018,3,5,6,0.1792,16,1
75003,75009,1,5,6,0.1792,16,1
75009,75015,1,5,6,0.1792,16,1
75001,75017,1,6,5,0.1965,15,1
75013,75015,1,6,5,0.1965,15,1
75007,75009,1,6,5,0.1965,15,1
75009,75011,1,6,5,0.1965,15,1
75012,75017,1,7,3,0.2727,8,1
75009,75020,1,7,3,0.2727,8,1
75011,75018,1,8,2,0.3654,4,1
75009,75012,1,9,2,0.3696,4,1
75011,75015,2,0,2,0.0153,17,0
75011,75015,2,0,2,0.0153,17,0
75012,75014,1,0,2,0.0153,17,0
75014,75017,1,0,2,0.0153,17,0
75011,75015,2,0,3,0.0447,17,0
75011,75015,2,0,3,0.0447,17,0
75012,75014,1,0,3,0.0447,17,0
75012,75014,2,0,3,0.0447,17,0
75012,75014,2,0,3,0.0447,17,0
75012,75014,1,0,4,0.0902,17,0
75011,75015,2,0,4,0.0902,17,0
75012,75014,2,0,4,0.0902,17,0
75012,75014,2,0,4,0.0902,17,0
75012,75014,2,0,4,0.0902,17,0
75011,75015,2,0,5,0.131,17,0
75012,75014,1,0,5,0.131,17,0
75011,75015,3,0,5,0.131,17,0
75011,75015,3,0,5,0.131,17,0
75012,75014,2,0,5,0.131,17,0
75011,75015,3,0,5,0.131,17,0
75011,75015,2,0,6,0.1599,17,0
75012,75014,2,0,6,0.1599,17,0
75012,75014,2,0,6,0.1599,17,0
75014,75017,1,0,6,0.1599,17,0
75011,75015,3,0,6,0.1599,17,0
75011,75015,3,0,6,0.1599,17,0
75011,75015,3,0,8,0.1361,17,0
75014,75017,1,0,8,0.1361,17,0
75012,75014,2,0,8,0.1361,17,0
75011,75017,1,0,8,0.1361,17,0
75011,75015,3,0,9,0.1018,17,0
75014,75017,1,0,9,0.1018,17,0
75012,75014,2,0,9,0.1018,17,0
75011,75011,1,0,9,0.1018,17,0
75001,75116,1,0,9,0.1018,17,0
75011,75015,3,0,10,0.0711,17,0
75014,75017,1,0,10,0.0711,17,0
75012,75014,2,0,10,0.0711,17,0
75009,75016,1,0,10,0.0711,17,0
75020,75116,1,0,10,0.0711,17,0
75012,75013,1,0,10,0.0711,17,0
75011,75015,3,0,11,0.0436,17,0
75014,75017,1,0,11,0.0436,17,0
75012,75014,2,0,11,0.0436,17,0
75014,75116,1,0,11,0.0436,17,0
75007,75012,1,0,11,0.0436,17,0
75009,75011,1,0,11,0.0436,17,0
75011,75017,1,0,11,0.0436,17,0
75011,75015,3,0,12,0.0219,17,0
75014,75017,1,0,12,0.0219,17,0
75012,75014,2,0,12,0.0219,17,0
75012,75016,1,0,12,0.0219,17,0
75003,75015,1,0,12,0.0219,17,0
75007,75019,1,0,12,0.0219,17,0
75009,75010,1,0,12,0.0219,17,0
75003,75016,1,0,12,0.0219,17,0
75011,75015,3,0,13,0.0125,17,0
75014,75017,1,0,13,0.0125,17,0
75012,75014,2,0,13,0.0125,17,0
75011,75116,1,0,13,0.0125,17,0
75012,75016,1,0,13,0.0125,17,0
75015,75019,1,0,13,0.0125,17,0
75007,75009,1,0,13,0.0125,17,0
75001,75014,1,0,13,0.0125,17,0
75015,75016,1,0,13,0.0125,17,0
75011,75015,3,0,14,0.0048,17,0
75014,75017,1,0,14,0.0048,17,0
75012,75014,2,0,14,0.0048,17,0
75015,75015,1,0,14,0.0048,17,0
75009,75018,1,0,14,0.0048,17,0
75009,75015,1,0,14,0.0048,17,0
75006,75014,1,0,14,0.0048,17,0
75009,75015,1,0,14,0.0048,17,0
75015,75020,1,0,14,0.0048,17,0
75013,75019,1,0,14,0.0048,17,0
75011,75015,3,0,15,0.0021,17,0
75014,75017,1,0,15,0.0021,17,0
75012,75014,2,0,15,0.0021,17,0
75014,75020,1,0,15,0.0021,17,0
75001,75017,1,0,15,0.0021,17,0
75016,75017,1,0,15,0.0021,17,0
75009,75016,1,0,15,0.0021,17,0
75001,75018,1,0,15,0.0021,17,0
75005,75011,1,0,15,0.0021,17,0
75008,75015,1,0,15,0.0021,17,0
75005,75009,1,0,15,0.0021,17,0
75011,75015,3,0,16,0.0011,17,0
75014,75017,1,0,16,0.0011,17,0
75012,75014,2,0,16,0.0011,17,0
75012,75020,1,0,16,0.0011,17,0
75009,75015,1,0,16,0.0011,17,0
75012,75020,1,0,16,0.0011,17,0
75007,75020,1,0,16,0.0011,17,0
75008,75020,1,0,16,0.0011,17,0
75009,75116,1,0,16,0.0011,17,0
75017,75116,1,0,16,0.0011,17,0
75017,75116,1,0,16,0.0011,17,0
75015,75019,1,0,16,0.0011,17,0
75011,75015,3,0,17,0.0003,17,0
75014,75017,1,0,17,0.0003,17,0
75012,75014,2,0,17,0.0003,17,0
75009,75010,1,0,17,0.0003,17,0
75006,75014,1,0,17,0.0003,17,0
75007,75008,1,0,17,0.0003,17,0
75011,75016,1,0,17,0.0003,17,0
75014,75017,1,0,17,0.0003,17,0
75010,75015,1,0,17,0.0003,17,0
75014,75014,1,0,17,0.0003,17,0
75003,75012,1,0,17,0.0003,17,0
75015,75020,1,0,17,0.0003,17,0
75009,75011,1,0,17,0.0003,17,0
75014,75015,2,1,2,0.0016,26,0
75014,75015,2,1,2,0.0016,26,0
75005,75009,1,1,2,0.0016,26,0
75005,75009,1,1,2,0.0016,26,0
75005,75009,1,1,2,0.0016,26,0
75005,75009,2,1,2,0.0016,26,0
75009,75116,1,1,2,0.0016,26,0
75014,75015,2,1,3,0.0064,26,0
75005,75009,1,1,3,0.0064,26,0
75009,75020,1,1,3,0.0064,26,0
75013,75019,1,1,3,0.0064,26,0
75013,75019,1,1,3,0.0064,26,0
75005,75009,1,1,4,0.018,26,0
75014,75015,2,1,4,0.018,26,0
75009,75020,1,1,4,0.018,26,0
75013,75019,1,1,4,0.018,26,0
75002,75009,1,1,4,0.018,26,0
75013,75019,1,1,4,0.018,26,0
75005,75009,1,1,5,0.0398,26,0
75014,75015,2,1,5,0.0398,26,0
75002,75009,1,1,5,0.0398,26,0
75005,75009,2,1,5,0.0398,26,0
75005,75009,2,1,5,0.0398,26,0
75009,75116,1,1,5,0.0398,26,0
75009,75020,1,1,5,0.0398,26,0
75014,75015,2,1,6,0.0635,26,0
75013,75019,1,1,6,0.0635,26,0
75002,75009,1,1,6,0.0635,26,0
75013,75019,1,1,6,0.0635,26,0
75002,75009,1,1,6,0.0635,26,0
75005,75009,2,1,6,0.0635,26,0
75013,75019,1,1,6,0.0635,26,0
75014,75015,2,1,7,0.0908,26,0
75002,75009,1,1,7,0.0908,26,0
75014,75015,3,1,7,0.0908,26,0
75009,75010,1,1,7,0.0908,26,0
75014,75015,3,1,7,0.0908,26,0
75014,75015,3,1,7,0.0908,26,0
75009,75010,1,1,7,0.0908,26,0
75002,75009,1,1,7,0.0908,26,0
75014,75015,2,1,8,0.1186,26,0
75014,75015,2,1,8,0.1186,26,0
75005,75009,2,1,8,0.1186,26,0
75013,75019,1,1,8,0.1186,26,0
75002,75009,1,1,8,0.1186,26,0
75014,75015,3,1,8,0.1186,26,0
75009,75010,1,1,8,0.1186,26,0
75005,75009,2,1,8,0.1186,26,0
75013,75019,1,1,8,0.1186,26,0
75013,75019,1,1,8,0.1186,26,0
75014,75015,2,1,9,0.1204,26,0
75009,75010,1,1,9,0.1204,26,0
75013,75019,1,1,9,0.1204,26,0
75009,75116,1,1,9,0.1204,26,0
75009,75020,1,1,9,0.1204,26,0
75009,75020,1,1,9,0.1204,26,0
75005,75009,2,1,9,0.1204,26,0
75009,75116,1,1,9,0.1204,26,0
75009,75116,1,1,9,0.1204,26,0
75009,75020,1,1,9,0.1204,26,0
75009,75020,1,1,11,0.1102,26,0
75009,75010,1,1,11,0.1102,26,0
75009,75116,1,1,11,0.1102,26,0
75013,75019,1,1,11,0.1102,26,0
75002,75009,1,1,11,0.1102,26,0
75014,75015,3,1,11,0.1102,26,0
75005,75009,2,1,11,0.1102,26,0
75018,75020,1,1,11,0.1102,26,0
75009,75020,1,1,12,0.091,26,0
75009,75010,1,1,12,0.091,26,0
75009,75116,1,1,12,0.091,26,0
75013,75019,1,1,12,0.091,26,0
75002,75009,1,1,12,0.091,26,0
75014,75015,3,1,12,0.091,26,0
75005,75009,2,1,12,0.091,26,0
75008,75016,1,1,12,0.091,26,0
75015,75017,1,1,12,0.091,26,0
75009,75020,1,1,13,0.0743,26,0
75009,75010,1,1,13,0.0743,26,0
75009,75116,1,1,13,0.0743,26,0
75013,75019,1,1,13,0.0743,26,0
75002,75009,1,1,13,0.0743,26,0
75014,75015,3,1,13,0.0743,26,0
75005,75009,2,1,13,0.0743,26,0
75013,75116,1,1,13,0.0743,26,0
75006,75013,1,1,13,0.0743,26,0
75007,75015,1,1,13,0.0743,26,0
75009,75020,1,1,14,0.0529,26,0
75009,75010,1,1,14,0.0529,26,0
75009,75116,1,1,14,0.0529,26,0
75013,75019,1,1,14,0.0529,26,0
75002,75009,1,1,14,0.0529,26,0
75014,75015,3,1,14,0.0529,26,0
75005,75009,2,1,14,0.0529,26,0
75011,75015,1,1,14,0.0529,26,0
75014,75016,1,1,14,0.0529,26,0
75011,75011,1,1,14,0.0529,26,0
75008,75009,1,1,14,0.0529,26,0
75009,75020,1,1,15,0.0384,26,0
75009,75010,1,1,15,0.0384,26,0
75009,75116,1,1,15,0.0384,26,0
75013,75019,1,1,15,0.0384,26,0
75002,75009,1,1,15,0.0384,26,0
75014,75015,3,1,15,0.0384,26,0
75005,75009,2,1,15,0.0384,26,0
75013,75015,1,1,15,0.0384,26,0
75008,75018,1,1,15,0.0384,26,0
75008,75016,1,1,15,0.0384,26,0
75015,75020,1,1,15,0.0384,26,0
75003,75014,1,1,15,0.0384,26,0
75009,75020,1,1,16,0.0222,26,0
75009,75010,1,1,16,0.0222,26,0
